Name,Value
Arctic Combat,18.400000000000002
Arma 2,825.5
Arma 2 British Armed Forces,0.7
Arma 2 DayZ Mod,148.10000000000002
Arma 2 Free,3.2
Arma 2 Operation Arrowhead,9429.700000000003
Arma 2 Operation Arrowhead Beta (Obsolete),190.39999999999998
Arma 2 Private Military Company,5.4
Arma 3,24055.7
Arma Cold War Assault,37.9
Arma Combat Operations,99.2
Arma Tactics,9.7
Armada 2526,1.7999999999999998
Armello,14.0
Armikrog,4.7
Arms Dealer,1.9
ArtRage Studio Pro,9.3
Artemis Spaceship Bridge Simulator,8.5
Arx Fatalis,62.3
Ascend Hand of Kul,62.29999999999999
Ascendant,5.0
Ashes of the Singularity,0.7
Assassin's Creed,415.40000000000003
Assassin's Creed Brotherhood,976.4000000000001
Assassin's Creed Freedom Cry,8.9
Assassin's Creed II,1646.1
Assassin's Creed III,2545.3999999999996
Assassin's Creed IV Black Flag,3230.3000000000006
Assassin's Creed Revelations,1145.1
Assassin's Creed Rogue,62.0
Assassin's Creed Syndicate,96.4
Assassins Creed Chronicles China,9.6
Assassins Creed Unity,343.0
Assault Android Cactus,2.9
Assetto Corsa,283.29999999999995
Astebreed,0.8
Asteria,1.0
Asteroids Outpost,0.3
Astro Lords,0.30000000000000004
Atlantica Online,8.2
Atom Zombie Smasher ,110.80000000000001
Audiosurf,647.9
Audiosurf 2,110.30000000000001
Audition Online,10.299999999999999
Auditorium,0.9
Aura Fate of the Ages,10.799999999999999
Aura Kingdom,209.39999999999998
Autobahn Police Simulator,1.9000000000000001
Autocraft,5.1
Automation - The Car Company Tycoon Game,12.4
Avadon 2 The Corruption,2.9
Avadon The Black Fortress,1.0
Avernum 4,228.0
Avernum 5,222.0
Avernum 6,80.0
Avernum Escape From the Pit,257.0
Aveyond 3-1 Lord of Twilight,1.2
Aveyond 3-2 Gates of Night,0.6
Awesomenauts,1504.7
Axiom Verge,30.299999999999997
Axis Game Factory's AGFPRO 3.0,11.2
Azure Striker Gunvolt,5.5
B.U.T.T.O.N.,0.1
BAD END,3.8
BEEP,11.399999999999999
BIT.TRIP BEAT,21.599999999999998
BIT.TRIP CORE,0.1
BIT.TRIP FATE,0.5
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,61.6
BIT.TRIP RUNNER,73.6
BIT.TRIP VOID,0.4
BLOCKADE 3D,682.0
BRAINPIPE A Plunge to Unhumanity,5.6
BRINK,237.49999999999997
Babel Rising,0.4
Back to Bed,1.6
Back to Dinosaur Island ,10.7
Back to the Future Ep 1 - It's About Time,25.3
Back to the Future Ep 2 - Get Tannen!,13.200000000000001
Back to the Future Ep 3 - Citizen Brown,10.8
Back to the Future Ep 4 - Double Visions,7.8
Back to the Future Ep 5 - OUTATIME,8.3
Bad Hotel,10.0
Bad Rats,29.299999999999997
Baldur's Gate Enhanced Edition,3094.8999999999996
Baldur's Gate II Enhanced Edition,4277.299999999999
Ballad of Solar,10.1
Ballpoint Universe Infinite,3.0999999999999996
Banished,2630.999999999999
Bard's Gold,119.0
Bardbarian,13.899999999999999
Basement,69.7
Bastion,651.9000000000003
Batla,45.3
Batman Arkham Asylum,128.4
Batman Arkham Asylum GOTY Edition,1394.3999999999999
Batman Arkham City,655.4000000000001
Batman Arkham City GOTY,2076.5999999999995
Batman Arkham Knight,422.8
Batman Arkham Origins,1951.8
Batman Arkham Origins Blackgate - Deluxe Edition,14.3
Battle Academy,14.6
Battle Academy 2 Eastern Front,0.1
Battle Battalions,1.1
Battle Brothers,1.5
Battle Group 2,2.6
Battle Islands,383.59999999999997
Battle Los Angeles,4.1
Battle Nations,1051.2
Battle for Graxia,3.8
Battle of Empires  1914-1918,73.2
Battle vs Chess,5.0
BattleBlock Theater,625.7000000000002
BattleSpace,0.7
Battlefield 2,191.3
Battlefield Bad Company 2,6678.5999999999985
Battlegrounds of Eldhelm,0.4
Battlepaths,53.199999999999996
Battleplan American Civil War,3.1
Battlestations Midway,24.7
Battlestations Pacific,153.20000000000002
BeamNG.drive,123.3
Beast Boxing Turbo,1.9
Beasts of Prey,67.3
Beat Hazard,191.9
Beatbuddy Tale of the Guardians,21.900000000000002
Bedlam,3.4
Before the Echo,19.199999999999996
Bejeweled 2 Deluxe,2.4
Bejeweled 3,213.69999999999996
Bejeweled Deluxe,1.0
"Ben There, Dan That!",6.6
Bermuda,3.8
Besiege,1251.6
Betrayer,14.499999999999998
Better Late Than DEAD,3.4
Beware Planet Earth,2.2
Beyond Divinity,1.5
Beyond Eyes,1.5
Beyond Good & Evil,14.2
Beyond Space,12.6
Bientt l't,0.4
Big Brain Wolf,1.0
Big Money! Deluxe,3.0
Big Pharma,28.4
Binary Domain,34.3
BioShock,1089.1999999999998
BioShock 2,496.8
BioShock Infinite,3689.1000000000013
Bionic Commando,1.2
Bionic Commando Rearmed,1.0999999999999999
Bionic Dues,10.8
Black Fire,2.9
Black Ice,1.1
Black Ink,239.3
Black Mesa,137.3
Black Mirror,1.6
Black Sails,1.8
Black Viper Sophia's Fate,0.2
Blackguards,237.8
Blackguards 2,83.5
Blacklight Retribution,1261.2000000000003
Blacklight Tango Down,1.7999999999999998
Blackwell Convergence,0.3
Blade Symphony,133.4
Blades of Time,48.699999999999996
Blaster Shooter GunGuy!,5.4
BlazBlue Calamity Trigger,6.1
BlazBlue Continuum Shift Extend,233.8
BlazeRush,0.1
Blazing Angels 2 Secret Missions of WWII,18.8
Blazing Angels Squadrons of WWII,7.6
Bleed,11.6
Blender 2.76b,15.900000000000002
Blitzkrieg 2 Anthology,21.8
Blitzkrieg Anthology,8.5
Blob From Space,5.8
Block N Load,259.09999999999997
Block Story,15.7
Blockland,29.4
Blocks That Matter,33.199999999999996
Blockscape,0.5
Blockstorm,10.1
Blood Bowl 2,247.70000000000002
Blood Bowl Chaos Edition,1222.1999999999998
Blood Bowl Dark Elves Edition,13.9
Blood Bowl Legendary Edition,469.40000000000003
Blood Knights,5.0
Blood Omen 2 Legacy of Kain,2.9
Blood One Unit Whole Blood,3.5
Blood of Old,15.1
Blood of the Werewolf,0.5
BloodLust Shadowhunter,0.3
BloodRayne,6.6
BloodRayne 2,5.8
BloodRayne Betrayal,3.3000000000000003
BloodRealm Battlegrounds,4.8999999999999995
Bloodbath Kavkaz,4.9
Bloodline Champions,290.5
Bloodwood Reload,0.2
Bloody Good Time,28.6
Bloody Trapland,18.299999999999997
Bloons TD5,169.6
Blue Rose,3.2
Blur,50.0
Bob Came in Pieces,2.3
Bob Was Hungry,13.0
Boid,8.9
Boo Bunny Plague,2.3
BookWorm Adventures Volume 2,120.5
BookWorm Deluxe,13.8
Bookworm Adventures Deluxe,74.9
Booster Trooper,2.1
Borderlands,4742.799999999999
Borderlands 2,22667.899999999994
Borderlands 2 RU,961.3
Borderlands The Pre-Sequel,2852.1
Borderless Gaming,13.1
Borealis,7.300000000000001
Boring Man - Online Tactical Stickman Combat,76.39999999999999
Boson X,28.2
Botanicula,49.3
Bound By Flame,85.7
Braid,115.49999999999997
Brawlhalla,458.6
Breach,12.8
Breach & Clear,7.6
Break Into Zatwor,5.0
Breath of Death VII ,8.1
Breezeblox,48.0
Brick-Force,50.4
Bridge Constructor,21.1
Bridge Constructor Medieval,1.7
Bridge It (plus),2.6
Bridge Project,10.2
Brilliant Bob,27.800000000000004
Broforce,688.3999999999999
Broken Age,157.3
Broken Sword 1 - Shadow of the Templars Director's Cut,27.2
Broken Sword 2 - the Smoking Mirror Remastered,5.7
Broken Sword 3 - the Sleeping Dragon,0.4
Broken Sword 4 - the Angel of Death,21.0
Broken Sword 5 - the Serpent's Curse,85.80000000000001
Brothers - A Tale of Two Sons,95.60000000000002
Brothers in Arms Hell's Highway,22.199999999999996
Brothers in Arms Road to Hill 30,16.5
Brtal Legend,218.29999999999998
Buccaneer The Pursuit of Infamy,7.2
Build-A-Lot,8.9
Build-A-Lot 2,5.2
Build-A-Lot 4,97.0
Bullet Heaven 2,5.3
Bulletstorm,299.80000000000007
Bully Scholarship Edition,235.2
Bunch Of Heroes,8.0
Burgers,16.6
Burn Zombie Burn,5.4
Burnout Paradise The Ultimate Box,475.70000000000005
Burstfire,3.3000000000000003
Bus Driver,1.3
Bus-Simulator 2012,3.2
Buzz Aldrin's Space Program Manager,4.5
C9,2.7
CAFE 0 ~The Drowned Mermaid~,3.0
CID The Dummy,4.4
CRYENGINE,0.1
CRYPTARK,0.7
Cabela's African Adventures,0.7
Cabela's Big Game Hunter Pro Hunts,20.1
Cabela's Dangerous Hunts 2013,0.8
Cabela's Hunting Expeditions,3.5
Cabelas Trophy Bucks,3.4
CaesarIA,1.8
Call of Cthulhu Dark Corners of the Earth,48.8
Call of Duty,8.899999999999999
Call of Duty 2,41.5
Call of Duty 4 Modern Warfare,1223.8000000000002
Call of Duty Advanced Warfare,535.1000000000001
Call of Duty Advanced Warfare - Multiplayer,3096.3999999999987
Call of Duty Black Ops,3875.9999999999977
