,Name,Value
317,Archeblade,139.0
629,Borderlands DLC The Zombie Island of Dr. Ned,139.0
3827,Sid Meier's Civilization V Scrambled Continents Map Pack,139.0
3987,Spiral Knights,138.0
2050,H1Z1 Test Server,138.0
2049,H1Z1,138.0
628,Borderlands DLC The Secret Armory of General Knoxx,138.0
1405,Dungeon Defenders,136.0
1104,Dark Souls Prepare to Die Edition,136.0
3029,Orcs Must Die! 2,136.0
627,Borderlands DLC Mad Moxxi's Underdome Riot,135.0
384,Aura Kingdom,135.0
4039,Starbound - Unstable,134.0
4037,Starbound,134.0
2447,LIMBO,133.0
4381,The Forest,131.0
1805,Free to Play,131.0
324,Arma 2 DayZ Mod,130.0
206,Alan Wake,130.0
2807,Mount & Blade Warband,130.0
2901,Natural Selection 2,130.0
934,Company of Heroes Tales of Valor,129.0
684,Burnout Paradise The Ultimate Box,129.0
626,Borderlands DLC Claptraps New Robot Revolution,128.0
4024,Star Wars Knights of the Old Republic,127.0
476,BattleBlock Theater,125.0
2977,ORION Prelude,123.0
4516,The Walking Dead,122.0
2167,Hitman Sniper Challenge,122.0
852,Cities Skylines,122.0
5015,World of Guns Gun Disassembly,121.0
1662,Fallen Earth,121.0
251,America's Army Proving Grounds,121.0
479,Battlefield Bad Company 2,120.0
3743,Serious Sam 3 BFE,118.0
2668,Max Payne 3,118.0
4583,Titan Quest,116.0
1591,F.E.A.R. 3,116.0
3259,Prison Architect,116.0
1901,Gear Up,116.0
175,Age of Empires II HD The Forgotten,115.0
4427,The Lord of the Rings Online,114.0
1590,F.E.A.R. 2 Project Origin,114.0
2185,Hotline Miami,114.0
2089,Happy Wars,114.0
1407,Dungeon Defenders II,114.0
3468,Red Faction Armageddon,113.0
3749,Serious Sam HD The Second Encounter,113.0
2681,Medal of Honor(TM) Single Player,113.0
2680,Medal of Honor(TM) Multiplayer,113.0
2679,Medal of Honor Pre-Order,113.0
2722,Middle-earth Shadow of Mordor,112.0
929,Company of Heroes 2,112.0
2683,Medieval II Total War,112.0
4009,Star Conflict,112.0
2659,Mass Effect 2,110.0
4492,The Stanley Parable,110.0
3942,Space Engineers,109.0
2618,Magicka Vietnam,109.0
4166,Surgeon Simulator,109.0
1279,Dino D-Day,108.0
1503,Enclave,107.0
3934,South Park The Stick of Truth,107.0
3588,Rome Total War,106.0
176,Age of Empires III Complete Collection,106.0
4112,Stronghold Kingdoms,105.0
3879,Sleeping Dogs,104.0
1763,Football Manager 2013,104.0
400,Awesomenauts,104.0
4709,Tribes Ascend,104.0
1115,Darksiders II,104.0
4711,Trine,103.0
38,7 Days to Die,103.0
1024,Crusader Kings II,102.0
2715,Metro Last Light,102.0
5150,sZone-Online,102.0
4914,"Warhammer 40,000 Dawn of War II  Retribution",101.0
4362,The Elder Scrolls IV Oblivion ,101.0
2651,Mark of the Ninja,100.0
3638,STAR WARS Knights of the Old Republic II The Sith Lords,100.0
4539,Thief,99.0
4016,Star Trek Online,99.0
1339,Double Action Boogaloo,98.0
3717,Scribblenauts Unlimited,98.0
2366,Kerbal Space Program,98.0
2602,Magic Duels,98.0
4890,War of the Roses,97.0
4717,Tropico 3 - Steam Special Edition,97.0
4428,The Lord of the Rings War in the North,97.0
1249,Deus Ex Human Revolution - Director's Cut,97.0
2760,Monaco,96.0
4095,Strife,96.0
2658,Mass Effect,96.0
4915,"Warhammer 40,000 Dawn of War II - Chaos Rising",96.0
4657,Torchlight,95.0
3049,Outlast,95.0
1141,Dead Island Riptide,94.0
502,Besiege,94.0
1689,Far Cry 2,93.0
1690,Far Cry 2 Fortunes Pack,93.0
4697,Transformice,93.0
442,Banished,93.0
647,Brick-Force,92.0
3357,RACE 07,92.0
2432,L.A. Noire,92.0
3100,"Papers, Please",92.0
4719,Tropico 4,92.0
3694,Sanctum 2,92.0
379,Audiosurf,91.0
639,Brawlhalla,91.0
3028,Orcs Must Die!,91.0
1309,Dizzel,91.0
734,Call of Duty Ghosts,90.0
735,Call of Duty Ghosts - Multiplayer,90.0
3425,Ragnarok Online 2,90.0
2620,Magicka Wizard's Survival Kit,89.0
4523,The Witcher 3 Wild Hunt,89.0
4912,"Warhammer 40,000 Dawn of War - Game of the Year Edition",88.0
743,Call of Duty World at War,87.0
3362,RAGE,87.0
1605,FEZ,87.0
2345,Just Cause 2 Multiplayer Mod,86.0
5107,Zombie Panic Source,86.0
1434,Dying Light,85.0
3555,Risk of Rain,85.0
4480,The Ship,85.0
4482,The Ship Tutorial,85.0
207,Alan Wake's American Nightmare,85.0
4314,The Binding of Isaac Rebirth,84.0
1072,DCS World,84.0
4669,Total War SHOGUN 2 - Fall of the Samurai,84.0
231,Aliens vs. Predator,84.0
5054,XCOM Enemy Within,84.0
334,Arma Cold War Assault,83.0
1153,Dead Space 2,83.0
2040,Guns of Icarus Online,83.0
4147,Super Monday Night Combat,82.0
4481,The Ship Single Player,82.0
630,Borderlands The Pre-Sequel,82.0
1326,Don't Starve Reign of Giants,82.0
3298,Psychonauts Demo,82.0
4865,WARMODE,82.0
1846,GRID 2,81.0
3195,Planetary Annihilation,81.0
1692,Far Cry 3 Blood Dragon,81.0
1267,DiRT 3 Complete Edition,81.0
124,Aftermath,81.0
3297,Psychonauts,81.0
3550,Risen 2 - Dark Waters,80.0
1764,Football Manager 2014,80.0
1762,Football Manager 2012,80.0
1247,Deus Ex Game of the Year Edition,80.0
356,Assassin's Creed II,80.0
1359,Dragon Age Origins - Ultimate Edition,79.0
4023,Star Wars Jedi Knight Jedi Academy,79.0
3057,Overlord,79.0
2684,Medieval II Total War Kingdoms,79.0
3820,Sid Meier's Civilization III Complete,79.0
1765,Football Manager 2015,79.0
1614,FINAL FANTASY VII,79.0
2162,Hitman 2 Silent Assassin,78.0
3968,Spec Ops The Line,78.0
2164,Hitman Blood Money,77.0
637,Braid,77.0
1066,DARK SOULS II,77.0
3021,Only If,77.0
668,Brtal Legend,76.0
1589,F.E.A.R.,76.0
725,Call of Duty Advanced Warfare - Multiplayer,76.0
1592,F.E.A.R. Extraction Point,76.0
1594,F.E.A.R. Perseus Mandate,76.0
1428,Dust An Elysian Tail,76.0
4883,War Inc. Battlezone,76.0
313,ArcheAge,76.0
292,Antichamber,76.0
724,Call of Duty Advanced Warfare,76.0
2191,How to Survive,75.0
101,Ace of Spades,75.0
4994,Wolfenstein The New Order,75.0
2616,Magicka Party Robes,75.0
4517,The Walking Dead Season Two,75.0
197,AirMech,75.0
4584,Titan Quest Immortal Throne,74.0
4137,Super Crate Box,74.0
1419,Dungeonland,74.0
2039,Guns and Robots,74.0
3072,POSTAL 2,74.0
2615,Magicka Nippon,74.0
1037,Crysis,73.0
4055,State of Decay,73.0
2755,Mitos.is The Game,73.0
4160,Supreme Commander 2,73.0
1734,Fishing Planet,73.0
3693,Sanctum,72.0
1791,Fractured Space,72.0
572,Block N Load,72.0
357,Assassin's Creed III,72.0
2252,Infestation Survivor Stories,72.0
1308,Divinity Original Sin Enhanced Edition,72.0
1872,Game Dev Tycoon,71.0
2778,Mortal Kombat Komplete Edition,71.0
2463,Lara Croft and the Guardian of Light,71.0
3618,S.K.I.L.L. - Special Force 2,71.0
5027,Worms Revolution,71.0
1307,Divinity Original Sin,71.0
3959,SpaceChem,71.0
358,Assassin's Creed IV Black Flag,71.0
2612,Magicka Final Frontier,70.0
1553,Euro Truck Simulator 2 - Going East!,70.0
1853,GTR Evolution,69.0
2087,Hammerwatch,69.0
1266,DiRT 3,69.0
3466,Red Crucible Firestorm,69.0
4025,Star Wars Republic Commando,68.0
2576,METAL GEAR SOLID V THE PHANTOM PAIN,68.0
1160,Deadlight,68.0
2861,NEOTOKYO,68.0
2617,Magicka The Watchtower,68.0
3470,Red Faction Guerrilla Steam Edition,68.0
3059,Overlord II,67.0
916,Command and Conquer Red Alert 3 - Uprising,67.0
2613,Magicka Frozen Lake,67.0
2273,Insurgency Modern Infantry Combat,67.0
723,Call of Duty 4 Modern Warfare,67.0
3847,SimCity 4 Deluxe,67.0
3576,Rogue Legacy,67.0
3997,Spore,67.0
4361,The Elder Scrolls III Morrowind,67.0
121,Afterfall InSanity Extended Edition,67.0
2165,Hitman Codename 47,66.0
3933,Source Filmmaker,66.0
3203,Plants vs. Zombies Game of the Year,66.0
4021,Star Wars Empire at War Gold,65.0
3818,Sid Meier's Civilization Beyond Earth,65.0
4551,This War of Mine,65.0
3973,SpeedRunners,65.0
952,Contagion,65.0
4930,Warlock - Master of the Arcane Powerful Lords,65.0
4929,Warlock - Master of the Arcane,65.0
3095,Panzar,65.0
5026,Worms Reloaded,65.0
2255,Infinite Crisis,64.0
664,Brothers - A Tale of Two Sons,64.0
5014,World of Goo,64.0
3060,Overlord Raising Hell,64.0
4588,To the Moon,64.0
3517,Reus,64.0
890,Codename CURE,64.0
1593,F.E.A.R. Online,64.0
460,Batman Arkham Origins - New Millennium Skins Pack,63.0
2030,Gun Monkeys,63.0
1487,Elsword,63.0
4797,VVVVVV,63.0
1251,Deus Ex Invisible War,63.0
2713,Metro 2033 Redux,63.0
1112,Darkest Hour Europe '44-'45,63.0
2649,Mare Nostrum,63.0
3664,Sakura Clicker,63.0
73,A.V.A - Alliance of Valiant Arms,63.0
3474,Red Orchestra Ostfront 41-45,63.0
2412,Knights and Merchants,62.0
4111,Stronghold HD,62.0
2716,Metro Last Light Redux,62.0
3895,Sniper Elite 3,62.0
4402,The Incredible Adventures of Van Helsing,62.0
287,Anomaly Warzone Earth,62.0
4918,"Warhammer 40,000 Space Marine",62.0
2810,Mount & Blade With Fire and Sword,62.0
2911,Need for Speed Hot Pursuit,62.0
4844,Vindictus,61.0
1507,Endless Space,61.0
4029,Star Wars The Force Unleashed Ultimate Sith Edition,61.0
1040,Crysis Warhead,61.0
4018,Star Wars - Jedi Knight II Jedi Outcast,61.0
3901,Sniper Ghost Warrior,61.0
1041,Crysis Wars,61.0
4529,The Wolf Among Us,61.0
1575,Everlasting Summer,60.0
1688,Far Cry,60.0
2771,Moonbase Alpha,60.0
3707,School of Dragons How to Train Your Dragon,60.0
418,BIT.TRIP RUNNER,60.0
279,Anno 2070,59.0
1370,Dragons and Titans,59.0
4753,UberStrike,59.0
4777,Universe Sandbox,59.0
2592,Machinarium,59.0
4740,Two Worlds Epic Edition,59.0
4162,Supreme Commander Forged Alliance,59.0
354,Assassin's Creed Brotherhood,58.0
2777,Mortal Kombat Kollection,58.0
746,Call of Juarez Gunslinger,58.0
459,Batman Arkham Origins - Initiation,58.0
2987,Oddworld Abe's Oddysee,58.0
2483,Legend of Grimrock,58.0
170,Age of Chivalry,58.0
4107,Stronghold 3,57.0
4642,Tom Clancy's Splinter Cell Conviction,57.0
567,Blender 2.76b,57.0
4852,Viscera Cleanup Detail Shadow Warrior,57.0
1310,DmC Devil May Cry,57.0
4348,The Darkness II,57.0
458,Batman Arkham Origins - Infinite Earths Skins Pack,57.0
2343,Just Cause,56.0
2263,Injustice Gods Among Us Ultimate Edition,56.0
2107,Haunted Memories,56.0
1269,DiRT Showdown,56.0
4020,Star Wars Dark Forces,56.0
4901,Wargame European Escalation,56.0
1250,Deus Ex Human Revolution - The Missing Link,55.0
3621,S.T.A.L.K.E.R. Shadow of Chernobyl,55.0
1357,Dragon Age Origins,55.0
1759,Football Manager 2009,55.0
4546,Thief Gold,55.0
3748,Serious Sam HD The First Encounter,55.0
2013,Guacamelee! Gold Edition,55.0
3650,Sacred 2 Gold,55.0
1497,Emily is Away,55.0
524,BioShock Infinite Burial at Sea - Episode 1,54.0
4495,The Swapper,54.0
2406,Kingdoms of Amalur Reckoning,54.0
3996,Spooky's House of Jump Scares,54.0
4687,Train Simulator,54.0
4156,Superbrothers Sword & Sworcery EP,54.0
2175,Homefront,54.0
1671,Fallout,54.0
2038,Gunpoint,53.0
4891,War of the Roses Balance Beta,53.0
525,BioShock Infinite Burial at Sea - Episode 2,53.0
1859,Galactic Civilizations II Ultimate Edition,53.0
2454,La Tale,53.0
4651,Tomb Raider Legend,53.0
1738,Five Nights at Freddy's,53.0
4698,Transistor,53.0
4892,War of the Roses Kingmaker,53.0
4159,Supreme Commander,53.0
1639,Fable - The Lost Chapters,53.0
2353,Kane & Lynch 2 Dog Days,53.0
5114,Zombies Monsters Robots,53.0
3772,Shadowrun Returns,53.0
596,Bloodline Champions,52.0
250,America's Army 3,52.0
2731,Might & Magic Heroes VI,52.0
1559,Europa Universalis IV,52.0
3417,Race The Sun,52.0
4553,Thomas Was Alone,52.0
4653,Tomb Raider Underworld,52.0
1052,Cubic Castles,52.0
1073,DEFCON,52.0
1101,Dark Messiah of Might & Magic Multi-Player,52.0
360,Assassin's Creed Revelations,52.0
1102,Dark Messiah of Might & Magic Single Player,52.0
3023,Operation Flashpoint Dragon Rising,52.0
3211,Poker Night at the Inventory,52.0
1200,Defy Gravity,52.0
4646,Tomb Raider Anniversary,52.0
1455,East India Company Gold,51.0
4863,WAKFU,51.0
4022,Star Wars Jedi Knight Dark Forces II,51.0
353,Assassin's Creed,51.0
4567,Time Clickers,51.0
4265,Teleglitch Die More Edition,51.0
1169,Dear Esther,50.0
2647,March of War,50.0
807,Cave Story+,50.0
1414,Dungeon Siege III,50.0
2614,Magicka Holiday Spirit Item Pack ,50.0
3619,S.T.A.L.K.E.R. Call of Pripyat,50.0
4028,Star Wars The Force Unleashed II,50.0
3854,Sins of a Solar Empire Rebellion,50.0
2806,Mount & Blade,50.0
2375,Killing Floor 2,49.0
4140,Super Hexagon,49.0
4760,Ultra Street Fighter IV,49.0
45,8BitMMO,49.0
523,BioShock Infinite - Season Pass,49.0
4325,The Bureau XCOM Declassified,49.0
1845,GRID,49.0
2322,Jamestown,49.0
3597,Royal Quest,49.0
3497,Resident Evil 5 / Biohazard 5,49.0
4545,Thief Deadly Shadows,49.0
3584,RollerCoaster Tycoon 3 Platinum!,49.0
3227,Portal Stories Mel,49.0
1222,Deponia,48.0
1672,Fallout 2,48.0
323,Arma 2 British Armed Forces,48.0
2509,Life Is Strange,48.0
1752,Floating Point,48.0
328,Arma 2 Private Military Company,48.0
2808,Mount & Blade Warband - Napoleonic Wars,48.0
3141,Pillars of Eternity,47.0
2575,METAL GEAR SOLID V GROUND ZEROES,47.0
3024,Operation Flashpoint Red River,47.0
3358,RACE 07 - Formula RaceRoom Add-On,47.0
4741,Two Worlds II,47.0
896,Cogs,47.0
1673,Fallout 3,47.0
1274,DiggerOnline,47.0
1401,Duke Nukem Forever,47.0
695,COH2 - The Western Front Armies Oberkommando West,47.0
3169,Pirates of Black Cove Gold,47.0
2440,LEGO MARVEL Super Heroes,47.0
1197,Defense Grid The Awakening,46.0
4418,The Last Remnant,46.0
4640,Tom Clancy's Splinter Cell Blacklist,46.0
2906,Navy Field 2  Conqueror of the Ocean,46.0
3189,Plague Inc Evolved,46.0
1423,Dungeons & Dragons Online,46.0
1362,Dragon Nest Europe,46.0
3949,Space Pirates and Zombies,46.0
3589,Rome Total War - Alexander,45.0
623,Borderlands 2 Headhunter 4 Wedding Day Massacre,45.0
988,Crash Time II,45.0
3137,Pid ,45.0
3760,Shadow Warrior,45.0
3830,Sid Meier's Railroads!,45.0
179,Age of Mythology Extended Edition,45.0
2719,MicroVolts Surge,45.0
3448,Really Big Sky,45.0
4790,Uplink,45.0
4193,System Shock 2,45.0
4519,The Way of Life Free Edition,45.0
3549,Risen,45.0
4911,"Warhammer 40,000 Dawn of War  Winter Assault",45.0
2599,Magic 2014 ,45.0
4909,"Warhammer 40,000 Dawn of War  Dark Crusade",45.0
4406,The Incredible Adventures of Van Helsing Thaumaturge,45.0
811,Champions Online,45.0
4109,Stronghold Crusader Extreme HD,45.0
4110,Stronghold Crusader HD,45.0
1009,CrimeCraft GangWars,44.0
2529,Little Inferno,44.0
4191,Synergy,44.0
691,C9,44.0
4487,The Sims(TM) 3,44.0
3602,Run and Fire,44.0
1925,Giana Sisters Twisted Dreams,44.0
3498,Resident Evil 6 / Biohazard 6,44.0
4784,Unreal Tournament 3 Black Edition,44.0
5076,You Have to Win the Game,43.0
2574,METAL GEAR RISING REVENGEANCE,43.0
2759,Modular Combat,43.0
5021,Worms Armageddon,43.0
3356,R.U.S.E.,43.0
3355,R.U.S.E,43.0
4941,Watch_Dogs,43.0
3767,Shadowgrounds,43.0
620,Borderlands 2 Headhunter 1 Bloody Harvest,43.0
991,Crayon Physics Deluxe,43.0
2016,Guardians of Middle-earth,43.0
1683,Fallout Tactics,43.0
3864,Skullgirls,42.0
489,Beat Hazard,42.0
1953,Gone Home,42.0
3462,Receiver,42.0
3872,Skyrim Script Extender (SKSE),42.0
2841,NARUTO SHIPPUDEN Ultimate Ninja STORM 3 Full Burst,42.0
1122,Darwinia,42.0
1972,Grand Theft Auto,42.0
3920,Sonic & All-Stars Racing Transformed,42.0
624,Borderlands 2 Headhunter 5 Son of Crawmerax,42.0
1973,Grand Theft Auto 2,42.0
1306,Divinity II Developer's Cut,42.0
621,Borderlands 2 Headhunter 2 Wattle Gobbler,42.0
457,Batman Arkham Origins -  Online Supply Drop 1,42.0
1504,Endless Legend,41.0
1874,Game of Thrones ,41.0
826,Child of Light,41.0
461,Batman Arkham Origins - Online Supply Drop 2,41.0
3829,Sid Meier's Pirates!,41.0
5040,X-COM UFO Defense,41.0
733,Call of Duty Black Ops III,41.0
4061,Stealth Inc 2,41.0
3408,RPG Maker VX Ace,41.0
462,Batman Arkham Origins Blackgate - Deluxe Edition,41.0
2428,Kung Fury,41.0
960,Copa Petrobras de Marcas,41.0
331,Arma 3 Karts,41.0
2797,Mortal Online,41.0
2410,KnightShift,40.0
4910,"Warhammer 40,000 Dawn of War  Soulstorm",40.0
4822,Velvet Sundown,40.0
3486,Remember Me,40.0
1693,Far Cry 4,40.0
480,Battlefield Bad Company 2 Vietnam,40.0
3982,Spelunky,40.0
4473,The Secret of Monkey Island Special Edition,40.0
1615,FINAL FANTASY VIII,40.0
3902,Sniper Ghost Warrior 2,40.0
2536,Lone Survivor The Director's Cut,40.0
1831,Frozen Synapse,40.0
3903,Sniper Ghost Warrior 2 Multiplayer Expansion Pack,40.0
4392,The Guild II,40.0
213,Alice Madness Returns,39.0
219,Alien Isolation,39.0
4026,Star Wars Starfighter,39.0
919,Commander Conquest of the Americas Gold,39.0
1110,Darkest Dungeon,39.0
422,BRINK,39.0
1157,Deadbreed,39.0
3770,Shadowrun Dragonfall - Director's Cut,39.0
3925,Sonic Generations,39.0
4842,Villagers and Heroes,39.0
4648,Tomb Raider I,39.0
1045,Cthulhu Saves the World ,39.0
3778,Shank,39.0
255,Amnesia A Machine for Pigs,39.0
4548,Thinking with Time Machine,39.0
1426,Dungeons of Dredmor,38.0
1760,Football Manager 2010,38.0
1815,From Dust,38.0
1161,Deadlight Original Soundtrack,38.0
5039,X-COM Terror from the Deep,38.0
2086,Hammerfight,38.0
5036,X-COM Apocalypse,38.0
4084,Stranded Deep,38.0
3177,Pixel Piracy,38.0
4789,Unturned - Permanent Gold Upgrade,38.0
4065,SteamWorld Dig,38.0
349,Ascend Hand of Kul,38.0
4770,Undertale,38.0
4369,The Escapists,38.0
3628,SEGA Genesis & Mega Drive Classics,38.0
4306,The Banner Saga - Mod Content,38.0
2176,Homeworld Remastered Collection,38.0
3287,Project Zomboid,38.0
1069,DARK SOULS II Scholar of the First Sin,38.0
2819,Multiwinia,38.0
1462,Echo of Soul,38.0
4305,The Banner Saga,38.0
3865,Skullgirls Endless Beta,38.0
2796,Mortal Kombat X,38.0
1900,Gauntlet ,38.0
1446,EVGA PrecisionX 16,38.0
622,Borderlands 2 Headhunter 3 Mercenary Day,38.0
2443,LEGO The Lord of the Rings,38.0
214,Alien Breed 2 Assault,38.0
860,Cities in Motion 2,38.0
2916,Nether,38.0
4649,Tomb Raider II,37.0
1630,FORCED,37.0
1935,Global Agenda,37.0
5028,Worms Ultimate Mayhem,37.0
1769,Football Superstars,37.0
3746,Serious Sam Classics Revolution,37.0
584,Blood Bowl Legendary Edition,37.0
1556,Europa Universalis III,37.0
417,BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,37.0
3745,Serious Sam Classic The Second Encounter,37.0
1301,Divine Souls,37.0
269,And Yet It Moves,37.0
1983,Gratuitous Space Battles,37.0
1470,Eets Munchies,37.0
2939,NightSky,37.0
4807,Vampire The Masquerade - Bloodlines,37.0
453,Batman Arkham City,37.0
3038,Osmos,37.0
3744,Serious Sam Classic The First Encounter,37.0
4019,Star Wars - Jedi Knight Mysteries of the Sith,36.0
4802,Valkyria Chronicles,36.0
4806,Valkyria Chronicles Selveria's Mission Behind Her Blue Flame,36.0
4663,Total War ATTILA,36.0
4580,Tiny and Big Grandpa's Leftovers,36.0
4805,Valkyria Chronicles Hard EX Mode,36.0
4804,Valkyria Chronicles Edy's Mission Enter the Edy Detachment,36.0
4803,Valkyria Chronicles Challenge of the Edy Detachment,36.0
3074,PROTOTYPE 2,36.0
857,Cities XL Platinum,36.0
922,Commandos 2 Men of Courage,36.0
1970,Grand Chase,36.0
2075,Half-Life 2 Update,36.0
3945,Space Hack,36.0
455,Batman Arkham Knight,36.0
4900,Wargame AirLand Battle,36.0
4541,Thief - Opportunist,36.0
448,Batla,36.0
5038,X-COM Interceptor,36.0
5037,X-COM Enforcer,36.0
2696,Men of War Assault Squad,36.0
182,Age of Wonders III,36.0
4323,The Bridge,36.0
4204,THE KING OF FIGHTERS XIII STEAM EDITION,35.0
500,"Ben There, Dan That!",35.0
2936,Nidhogg,35.0
