,Name,Value
3034,Ori and the Blind Forest,35.0
74,ACE - Arena Cyber Evolution,35.0
4264,Teeworlds,35.0
4720,Tropico 5,35.0
4652,Tomb Raider The Last Revelation,35.0
4568,"Time Gentlemen, Please!",35.0
1431,Dwarfs F2P,35.0
4645,Tomb Raider (VI) The Angel of Darkness,35.0
2257,Infinity Wars - Animated Trading Card Game,35.0
1645,Face of Mankind,35.0
3484,Relic Hunters Zero,35.0
3986,Spintires,35.0
1702,Farming Simulator 2013,35.0
3210,Poker Night 2,35.0
679,Bully Scholarship Edition,35.0
768,Card Hunter,34.0
2056,HOARD,34.0
915,Command and Conquer Red Alert 3,34.0
2721,Microsoft Flight Simulator X Steam Edition,34.0
3916,Soldier Front 2,34.0
3817,Sid Meier's Ace Patrol Pacific Skies,34.0
4131,Sunrider Mask of Arcadius,34.0
4543,Thief - The Bank Heist,34.0
4485,The Showdown Effect,34.0
1484,Elite Dangerous,34.0
4650,Tomb Raider III Adventures of Lara Croft,34.0
2667,Max Payne 2 The Fall of Max Payne,34.0
3816,Sid Meier's Ace Patrol,34.0
1429,Dustforce,34.0
5074,Yet Another Zombie Defense,34.0
1848,GRID Autosport,34.0
3546,Rise of the Argonauts,34.0
1776,Forge,34.0
1441,E.Y.E Divine Cybermancy,34.0
1583,Evolve,34.0
633,Boring Man - Online Tactical Stickman Combat,34.0
1361,Dragon Nest,34.0
4647,Tomb Raider Chronicles,34.0
2401,Kingdom Wars,34.0
332,Arma 3 Marksmen,34.0
1761,Football Manager 2011,34.0
1265,DiRT 2,33.0
3742,Serious Sam 2,33.0
1554,Euro Truck Simulator 2 - Ice Cold Paint Jobs Pack,33.0
1080,DRAGON BALL XENOVERSE,33.0
2557,Lucius,33.0
1400,Duke Nukem 3D Megaton Edition,33.0
3363,RAW - Realms of Ancient War,33.0
4840,Viking Battle for Asgard,33.0
4902,Wargame Red Dragon,33.0
2666,Max Payne,33.0
2645,MapleStory,33.0
625,Borderlands 2 RU,33.0
2585,MURDERED SOUL SUSPECT,33.0
2587,MX vs. ATV Reflex,33.0
3143,Pinball Arcade,33.0
3293,Prototype,33.0
1077,DOOM 3 BFG Edition,33.0
3768,Shadowgrounds Survivor,33.0
645,Breath of Death VII ,33.0
4098,Strike Suit Zero,33.0
330,Arma 3 Helicopters,33.0
216,Alien Breed Impact,32.0
429,Back to the Future Ep 4 - Double Visions,32.0
3870,Skyborn,32.0
430,Back to the Future Ep 5 - OUTATIME,32.0
3481,Reign Of Kings,32.0
428,Back to the Future Ep 3 - Citizen Brown,32.0
3172,"Pirates, Vikings, & Knights II",32.0
1135,Dead Bits,32.0
1116,Darksiders II Deathinitive Edition,32.0
427,Back to the Future Ep 2 - Get Tannen!,32.0
5052,X3 Terran Conflict,32.0
4455,The Plan,32.0
2166,Hitman Contracts,32.0
240,Altitude,32.0
4592,Toki Tori,32.0
1225,Depth,32.0
696,COH2 - The Western Front Armies US Forces,32.0
3126,Penumbra Overture,32.0
433,Bad Rats,32.0
2135,Hero Siege,32.0
1076,DOOM 3,32.0
3779,Shank 2,32.0
3572,Rocketbirds Hardboiled Chicken,32.0
426,Back to the Future Ep 1 - It's About Time,32.0
3620,S.T.A.L.K.E.R. Clear Sky,32.0
3653,Sacred Citadel,31.0
4544,Thief 2,31.0
237,Alpha Protocol,31.0
1551,Euro Truck Simulator,31.0
940,Confrontation,31.0
1570,EverQuest II,31.0
2930,Next Car Game Wreckfest,31.0
3083,Painkiller Hell & Damnation,31.0
4525,The Witcher 3 Wild Hunt - New Finisher Animations,31.0
496,Bejeweled 3,31.0
3999,Spore Galactic Adventures,31.0
1739,Five Nights at Freddy's 2,31.0
3226,Portal 2 Sixense Perceptual Pack,31.0
1211,Democracy 3,31.0
1699,Farming Simulator 15,31.0
3762,Shadow Warrior Classic (1997),31.0
945,Construct 2 Free,31.0
3544,Rise of Nations Extended Edition,31.0
3012,One Finger Death Punch,31.0
4425,The Long Dark,31.0
3501,Resident Evil Revelations / Biohazard Revelations,31.0
1300,Divine Divinity,31.0
2444,LEGO Worlds,30.0
3382,ROSE Online,30.0
3467,Red Faction,30.0
4344,The Culling Of The Cows,30.0
3423,Ragnarok,30.0
2354,Kane & Lynch Dead Men,30.0
3456,Realms of the Haunting,30.0
3502,Resident Evil Revelations 2 / Biohazard Revelations 2,30.0
758,Capsized,30.0
4851,Viscera Cleanup Detail Santa's Rampage,30.0
2728,Might & Magic Duel of Champions,30.0
2374,Killing Floor - Toy Master,30.0
492,Beatbuddy Tale of the Guardians,30.0
5024,Worms Crazy Golf,30.0
2532,Loadout Campaign Beta,30.0
815,Chaos Domain,30.0
657,Broforce,30.0
1818,Frontline Tactics,30.0
4383,The Forgotten Ones,30.0
3662,Saira,30.0
1445,EVE Online,30.0
2549,Lost Planet Extreme Condition,30.0
311,ArcaniA,30.0
4771,Unepic,30.0
976,Costume Quest,29.0
1253,Deus Ex The Fall,29.0
3069,PAYDAY Wolf Pack,29.0
2660,Master Levels for DOOM II,29.0
3784,Shatter,29.0
3471,Red Faction II,29.0
923,Commandos 3 Destination Berlin,29.0
177,Age of Empires Online,29.0
543,Blackguards,29.0
2092,Hard Reset Exile DLC,29.0
5025,Worms Pinball,29.0
2590,Mabinogi,29.0
3427,RaiderZ,29.0
1079,DOOM II Hell on Earth,29.0
2091,Hard Reset,29.0
5022,Worms Blast,29.0
1118,Darksiders Soundtrack,29.0
4497,The Talos Principle,29.0
248,Amazing World,29.0
4007,Stacking,29.0
3523,Reversion - The Escape,29.0
3250,Prime World,29.0
3684,Sam & Max 301 The Penal Zone,29.0
3686,Sam & Max 303 They Stole Max's Brain!,29.0
1068,DARK SOULS II Crown of the Old Iron King,29.0
3312,Puzzle Agent,29.0
1875,Game of Thrones - A Telltale Games Series,29.0
3687,Sam & Max 304 Beyond the Alley of the Dolls,29.0
907,Combat Arms,29.0
1618,FINAL FANTASY XIII,29.0
3936,South Park The Stick of Truth - Ultimate Fellowship Pack,29.0
4233,Take On Helicopters,29.0
3688,Sam & Max 305 The City that Dares not Sleep,29.0
3685,Sam & Max 302 The Tomb of Sammun-Mak,29.0
3567,Rochard,29.0
2548,Lost Planet 3,28.0
2674,McPixel,28.0
3144,Pinball FX2,28.0
3520,Revenge of the Titans,28.0
3101,Papo & Yo,28.0
3569,Rock of Ages,28.0
3289,Proteus,28.0
1117,Darksiders II Soundtrack,28.0
1420,Dungeonland - All access pass,28.0
2108,Hazard Ops,28.0
2929,Next Car Game Sneak Peek 2.0,28.0
3574,Rocksmith 2014,28.0
2959,Nosferatu The Wrath of Malachi,28.0
1005,Creativerse,28.0
1929,Gish,28.0
2577,METAL SLUG 3,28.0
4670,Tower Wars,28.0
5035,X-Blades,28.0
678,Bulletstorm,28.0
381,Audition Online,28.0
307,Aquaria,28.0
435,Baldur's Gate Enhanced Edition,28.0
507,Beyond Divinity,28.0
785,Caster,28.0
484,Battlestations Midway,27.0
266,Anarchy Arcade,27.0
377,Atom Zombie Smasher ,27.0
64,A Virus Named TOM,27.0
2762,Monkey Island 2 Special Edition,27.0
4513,The Vanishing of Ethan Carter Redux,27.0
1472,Eldevin,27.0
4512,The Vanishing of Ethan Carter,27.0
1145,Dead Rising 2,27.0
2984,Octodad Dadliest Catch,27.0
1766,Football Manager 2016,27.0
236,Alpha Prime,27.0
3247,Primal Carnage,27.0
4059,Stealth Bastard Deluxe,27.0
4161,Supreme Commander 2 - Infinite War Battle Pack One,27.0
761,Car Mechanic Simulator 2014,27.0
4222,TOME Immortal Arena,27.0
2594,Mad Max,27.0
4284,Test Drive Unlimited 2,27.0
4113,Stronghold Legends,26.0
2999,Oil Rush,26.0
924,Commandos Behind Enemy Lines,26.0
4393,The Guild II - Pirates of the European Seas,26.0
3751,Serious Sam The Random Encounter,26.0
1450,Earth 2150 The Moon Project,26.0
1879,GameMaker Studio,26.0
4826,Verdun,26.0
3853,Sins of a Dark Age,26.0
1027,Crusader Kings II Sons of Abraham,26.0
1442,EDGE,26.0
5094,Zeno Clash,26.0
3998,Spore Creepy & Cute Parts Pack,26.0
3615,Rusty Hearts,26.0
44,8BitBoy,26.0
4748,UFO Afterlight,26.0
2669,Max Payne 3 Season Pass,26.0
1075,DLC Quest,26.0
1256,Devil May Cry 4,26.0
3896,Sniper Elite Nazi Zombie Army,26.0
4508,The Ultimate DOOM,26.0
925,Commandos Beyond the Call of Duty,26.0
2897,Narcissu 1st & 2nd,26.0
2360,Karos,26.0
4106,Stronghold 2,26.0
3978,SpellForce 2 - Faith in Destiny,26.0
4371,The Evil Within,26.0
1581,Evoland,25.0
1078,DOOM 3 Resurrection of Evil,25.0
1719,Final DOOM,25.0
3420,Racer 8,25.0
2186,Hotline Miami 2 Wrong Number,25.0
3212,Polarity,25.0
3913,Solar 2,25.0
4847,Viridi,25.0
3859,"Sir, You Are Being Hunted",25.0
3747,Serious Sam Double D XXL,25.0
3313,Puzzle Agent 2,25.0
3122,Penny Arcade's On the Rain-Slick Precipice of Darkness 3,25.0
2714,Metro Conflict,25.0
4056,State of Decay - Breakdown,25.0
788,Castle Crashers - Blacksmith Pack,25.0
757,Canyon Capers,25.0
1993,Greed Corp,25.0
739,Call of Duty Modern Warfare 2 Stimulus Package,25.0
3279,Project CARS,25.0
3238,Pox Nora,25.0
2282,Intrusion 2,25.0
425,Back to Dinosaur Island ,25.0
2333,Joe Danger 2 The Movie,25.0
229,Aliens Colonial Marines,25.0
1620,FINAL FANTASY XIV A Realm Reborn,25.0
4558,Ticket to Ride,25.0
4707,Trials Evolution Gold Edition,25.0
2505,Leviathan Warships,25.0
2067,Half Minute Hero Super Mega Neo Climax Ultimate Boy,25.0
4829,Vertiginous Golf,25.0
2120,Hector Ep 1,24.0
4665,Total War Battles KINGDOM,24.0
77,AI War Fleet Command,24.0
789,Castle Crashers - Pink Knight Pack,24.0
4937,Wasteland 1 - The Original Classic,24.0
1067,DARK SOULS II - Season Pass,24.0
4068,Steel Storm Burning Retribution,24.0
2695,Men of War,24.0
4938,Wasteland 2,24.0
2115,Hearts of Iron III,24.0
4939,Wasteland 2 Director's Cut,24.0
2061,Hacker Evolution,24.0
882,Closure,24.0
5056,Xam,24.0
4785,Unreal Tournament Game of the Year Edition,24.0
3413,RUSH,24.0
717,Cakewalk Loop Manager,24.0
2964,Nuclear Dawn,24.0
2745,Mini Ninjas,24.0
2452,LUFTRAUSERS,24.0
4801,Valiant Hearts The Great War / Soldats Inconnus  Mmoires de la Grande Guerre,24.0
336,Arma Gold Edition,24.0
4394,The Guild II Renaissance,24.0
3050,Outlast Whistleblower DLC,24.0
2578,METAL SLUG DEFENSE,24.0
914,Command and Conquer 4 Tiberian Twilight,24.0
2821,Murder Miners,24.0
4641,Tom Clancy's Splinter Cell Chaos Theory,24.0
913,Command and Conquer 3 Tiberium Wars,24.0
5148,resident evil 4 / biohazard 4,24.0
1640,Fable Anniversary,24.0
635,Botanicula,24.0
242,Always Sometimes Monsters,24.0
3003,Omerta - City of Gangsters,24.0
1569,EverQuest Free-to-Play,24.0
3342,Quantum Rush Online,24.0
1834,Full Mojo Rampage,23.0
4944,Waveform,23.0
1412,Dungeon Siege,23.0
2986,Oddworld Abe's Exoddus,23.0
4878,Wallace & Gromit Ep 1 Fright of the Bumblebees,23.0
3923,Sonic Adventure DX,23.0
3032,Organ Trail Director's Cut,23.0
4404,The Incredible Adventures of Van Helsing II,23.0
4307,The Banner Saga Factions,23.0
2054,HIS (Heroes In the Sky),23.0
2761,Monday Night Combat,23.0
4593,Toki Tori 2+,23.0
1413,Dungeon Siege 2,23.0
3042,Out There Somewhere,23.0
3463,Recettear An Item Shop's Tale,23.0
1717,Fiesta Online NA,23.0
2001,Grim Fandango Remastered,23.0
4734,Turbo Dismount,23.0
2699,Men of War Red Tide,23.0
4502,The Testament of Sherlock Holmes,23.0
1641,Fable III,23.0
2851,NBA 2K15,23.0
3489,Renegade Ops,23.0
4881,Wallace & Gromit Ep 4 The Bogey Man,22.0
1469,Eets,22.0
2122,Hector Ep 3,22.0
3691,Samorost 2,22.0
468,Battle Islands,22.0
5017,World of Soccer online,22.0
738,Call of Duty Modern Warfare 2 - Resurgence Pack,22.0
1314,DogFighter,22.0
1302,Divinity Dragon Commander,22.0
2811,Mount Your Friends,22.0
4027,Star Wars The Clone Wars Republic Heroes,22.0
410,BEEP,22.0
215,Alien Breed 3 Descent,22.0
2414,Knights of Pen and Paper +1,22.0
232,All Is Dust,22.0
4094,Strider,22.0
2652,Mark of the Ninja Special Edition DLC,22.0
3294,Prototype 2 RADNET Access Pack,22.0
3184,PixelJunk Eden,22.0
5023,Worms Clan Wars,22.0
337,Arma Tactics,22.0
4363,The Elder Scrolls Online Tamriel Unlimited,22.0
2121,Hector Ep 2,22.0
4879,Wallace & Gromit Ep 2 The Last Resort,22.0
5001,Woodle Tree Adventures,22.0
1536,Eternal Senia,22.0
2193,HuniePop,22.0
5051,X3 Reunion,22.0
4880,Wallace & Gromit Ep 3 Muzzled!,22.0
3318,Puzzle Pirates,21.0
3938,Space Channel 5 Part 2,21.0
3107,Particula,21.0
3255,Prince of Persia The Sands of Time,21.0
4158,Superfrog HD,21.0
2385,King Arthur's Gold,21.0
364,Assassins Creed Unity,21.0
4830,Vessel,21.0
2537,Long Live The Queen,21.0
4739,Two Worlds 2 - Pirates of the Flying Fortress ,21.0
1388,Driver San Francisco,21.0
921,Commando Jack,21.0
2006,Grimoire Manastorm,21.0
320,Arctic Combat,21.0
2657,Marvel Puzzle Quest,21.0
575,Blocks That Matter,21.0
1417,Dungeon of the Endless,21.0
1193,Defense Grid Resurgence Map Pack 1,21.0
1505,Endless Sky,21.0
1411,Dungeon Party,21.0
283,Anomaly 2,21.0
4116,Styx Master of Shadows,21.0
2378,Killing Floor Uncovered,21.0
4638,Tom Clancy's Rainbow Six Vegas 2,21.0
1780,Forsaken World ,21.0
258,Among Ripples,21.0
1289,Dishonored (RU),21.0
3617,Ryse Son of Rome,21.0
3912,SolForge,21.0
3140,Piercing Blow,21.0
281,Anno Online,20.0
1509,Enemy Mind,20.0
799,Castlevania Lords of Shadow - Ultimate Edition,20.0
660,Broken Sword 2 - the Smoking Mirror Remastered,20.0
2173,Home,20.0
2005,Grimm,20.0
4718,Tropico 3 Absolute Power,20.0
1917,Get Off My Lawn!,20.0
471,Battle Nations,20.0
4343,The Crew,20.0
4006,Squishy the Suicidal Pig,20.0
1368,Dragon's Prophet (EU),20.0
1746,FlatOut 2,20.0
1963,Gothic 3,20.0
3897,Sniper Elite Nazi Zombie Army 2,20.0
2933,Nexuiz STUPID Mode,20.0
1194,Defense Grid Resurgence Map Pack 2 ,20.0
1195,Defense Grid Resurgence Map Pack 3,20.0
1196,Defense Grid Resurgence Map Pack 4,20.0
1867,Galaxy on Fire 2 Full HD,20.0
659,Broken Sword 1 - Shadow of the Templars Director's Cut,20.0
658,Broken Age,20.0
2603,Magic The Gathering  Duels of the Planeswalkers 2012,20.0
275,Anna - Extended Edition,20.0
4143,Super Killer Hornet Resurrection,20.0
4281,Tesla Effect,20.0
3118,Peggle Deluxe,20.0
3054,Overcast - Walden and the Werewolf,20.0
2931,Nexuiz,20.0
2600,Magic 2015,20.0
3907,Soccer Manager 2016,20.0
2932,Nexuiz Beta,20.0
4238,Tales from the Borderlands,20.0
4067,Steel Ocean,20.0
3763,Shadow Warrior Classic Redux,20.0
4540,Thief - Ghost,20.0
1548,Eufloria HD,20.0
1597,F1 2012,20.0
3068,PAYDAY The Web Series - Episode 1,20.0
3610,Running Shadow,20.0
4384,The Four Kings Casino and Slots,20.0
2380,King Arthur - The Role-playing Wargame,20.0
1584,Evolve - Behemoth,20.0
5135,iBomber Defense Pacific,20.0
1664,Fallen Enchantress Legendary Heroes,20.0
4524,The Witcher 3 Wild Hunt - Expansion Pass,20.0
325,Arma 2 Free,20.0
2609,Magicite,20.0
2201,Hydrophobia Prophecy,20.0
2551,Lost Saga North America,19.0
4783,Unreal Tournament 2004,19.0
366,Assetto Corsa,19.0
518,Binary Domain,19.0
3894,Sniper Elite,19.0
3514,Return to Castle Wolfenstein,19.0
2697,Men of War Assault Squad 2,19.0
4876,Waking Mars,19.0
3124,Penumbra Black Plague,19.0
3869,SkyDrift,19.0
1958,Goodbye Deponia,19.0
3127,Penumbra Requiem,19.0
1297,District 187,19.0
2812,Mountain,19.0
4035,StarForge,19.0
2442,LEGO The Hobbit,19.0
2675,MechWarrior Online,19.0
1547,Eufloria,19.0
2809,Mount & Blade Warband - Viking Conquest Reforged Edition,19.0
3585,RollerCoaster Tycoon Deluxe,19.0
4764,Uncrowded,19.0
2539,Lords Of The Fallen,19.0
1268,DiRT Rally,19.0
1549,Eufloria HD Original Soundtrack,19.0
1924,Ghostbusters The Video Game,19.0
116,Adventures of Shuggy,19.0
528,Bionic Commando Rearmed,19.0
4542,Thief - Predator,19.0
5020,Worms,19.0
2266,Insanely Twisted Shadow Planet,19.0
75,ACE COMBAT ASSAULT HORIZON Enhanced Edition,19.0
478,Battlefield 2,19.0
3906,Soccer Manager 2015,19.0
4833,Victoria II,19.0
1003,Crazy Taxi,19.0
4990,Wizorb,19.0
3935,South Park The Stick of Truth - Super Samurai Spaceman Pack,19.0
2081,Halo Spartan Assault,19.0
4415,The LEGO Movie - Videogame,19.0
486,BeamNG.drive,19.0
4247,Talisman Digital Edition,19.0
485,Battlestations Pacific,19.0
4229,Tabletop Simulator,19.0
3657,Saints Row Gat out of Hell,19.0
4248,Talisman Prologue,19.0
3071,POSTAL,19.0
90,AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,19.0
4309,The Basement Collection,19.0
1512,English Country Tune,19.0
3030,Order of War,19.0
2601,Magic Barrage - Bitferno,19.0
3627,SEGA Bass Fishing,19.0
5050,X3 Albion Prelude,19.0
1033,Crypt of the NecroDancer,19.0
1945,God Mode,18.0
2676,Mechanic Escape,18.0
2850,NBA 2K14,18.0
3418,Race The WTCC Game,18.0
3254,Prince of Persia The Forgotten Sands,18.0
865,City of Steam Arkadia,18.0
958,"Cook, Serve, Delicious!",18.0
503,Betrayer,18.0
2611,Magicka 2,18.0
3253,Prince of Persia,18.0
2606,Magic The Gathering - Duels of the Planeswalkers 2013,18.0
4050,Starseed Pilgrim,18.0
1959,Gorky 17,18.0
2770,Moon Breakers,18.0
2935,NiGHTS into Dreams...,18.0
2129,Hell Yeah!,18.0
4304,The Ball,18.0
4472,The Secret World,18.0
3111,Passing Pineview Forest,18.0
2148,Heroes of Might & Magic III - HD Edition,18.0
4319,The Book of Unwritten Tales,18.0
391,Avencast,18.0
2604,Magic The Gathering  Tactics,18.0
4308,The Bard's Tale,18.0
1449,Earth 2150 Lost Souls,18.0
1843,GEARCRACK Arena,18.0
3880,Sleeping Dogs Definitive Edition,18.0
4695,Transformers Fall of Cybertron,18.0
1186,Deepworld,18.0
3774,Shadows on the Vatican - Act I Greed,18.0
2391,King's Bounty The Legend,18.0
25,3DMark,18.0
4692,Trainz Simulator 12,18.0
4562,Ticket to Ride - USA 1910,18.0
4996,Wolfenstein The Old Blood ,18.0
816,Chaos Heroes Online,18.0
2055,HIT,18.0
1086,Daikatana,18.0
3185,PixelJunk Monsters Ultimate,18.0
4187,Syberia,18.0
376,Atlantica Online,18.0
3326,Q.U.B.E Director's Cut,18.0
1561,Europa Universalis IV Conquest of Paradise,18.0
2702,Mercenary Kings,18.0
3704,Scania Truck Driving Simulator,17.0
3063,PAC-MAN Championship Edition DX+,17.0
436,Baldur's Gate II Enhanced Edition,17.0
1850,GT Power Expansion,17.0
1432,Dwarfs!?,17.0
1331,Door Kickers,17.0
3769,Shadowrun Dragonfall,17.0
1716,Fiesta Online,17.0
1838,Fuse,17.0
1464,Echoes+,17.0
3850,Sine Mora,17.0
3786,Shattered Horizon,17.0
411,BIT.TRIP BEAT,17.0
1965,Gothic II Gold Edition,17.0
3542,Rise of Flight United,17.0
4235,Takedown Red Sabre,17.0
1014,CroNix,17.0
3341,Quantum Conundrum,17.0
27,3DMark API Overhead feature test,17.0
2913,Need for Speed Undercover,17.0
4837,Victory Command,17.0
4395,The Hat Man Shadow Ward,17.0
2246,Indie Game The Movie,17.0
1151,Dead Rising 3 DLC4,17.0
4057,State of Decay - Lifeline,17.0
1147,Dead Rising 3,17.0
1148,Dead Rising 3 DLC1,17.0
190,Aion,17.0
1149,Dead Rising 3 DLC2,17.0
1150,Dead Rising 3 DLC3,17.0
3525,Revolution Ace,17.0
4924,Warhammer End Times - Vermintide,17.0
4762,Uncharted Waters Online,17.0
1246,Dethroned!,17.0
4188,Syberia 2,17.0
264,Anachronox,17.0
4925,Warhammer End Times - Vermintide Sigmar's Blessing,17.0
817,Chaos on Deponia,17.0
2062,Hacker Evolution - Untold,17.0
28,3DMark Cloud Gate benchmark,17.0
2829,My Lands,17.0
31,3DMark Sky Diver benchmark,17.0
29,3DMark Fire Strike benchmark,17.0
1190,Defense Grid 2,17.0
2899,Nation Red,17.0
2180,Hospital Tycoon,17.0
30,3DMark Ice Storm benchmark,17.0
2203,Hyper Fighters,16.0
1868,Galcon 2,16.0
2655,Mars War Logs,16.0
1242,Destination Sol,16.0
4637,Tom Clancy's Rainbow Six Vegas,16.0
2460,Lambda Wars Beta,16.0
4782,Unreal II The Awakening,16.0
3190,Plain Sight,16.0
3336,Quake III Team Arena,16.0
3008,"On the Rain-Slick Precipice of Darkness, Episode One",16.0
3335,Quake III Arena,16.0
1903,Gemini Rue,16.0
4949,Weird Worlds Return to Infinite Space,16.0
4639,Tom Clancy's Splinter Cell,16.0
2387,King's Bounty Armored Princess,16.0
1741,Five Nights at Freddy's 4,16.0
3979,SpellForce 2 Gold Edition,16.0
3361,RADical ROACH Deluxe Edition,16.0
3094,Pandora Saga Weapons of Balance,16.0
4643,Tom Clancy's Splinter Cell Double Agent,16.0
4108,Stronghold Crusader 2,16.0
309,Arcane Saga Online,16.0
2493,Lego Harry Potter,16.0
3216,Pool Nation,16.0
4537,They Bleed Pixels,16.0
4781,Unreal Gold,16.0
3229,Post Apocalyptic Mayhem,16.0
2842,NARUTO SHIPPUDEN Ultimate Ninja STORM Revolution,16.0
1777,Fork Parker's Holiday Profit Hike,16.0
987,Craft The World,16.0
230,Aliens versus Predator Classic 2000,16.0
930,Company of Heroes 2 - Ardennes Assault,16.0
2325,Jazzpunk,16.0
2486,Legendary,16.0
653,Bridge Project,16.0
3256,Prince of Persia The Two Thrones,16.0
1947,Godus,16.0
5092,Zen Bound 2,16.0
1960,Gotham City Impostors,16.0
3700,Savage Lands,16.0
2682,Medieval Engineers,16.0
2149,Heroes of Might & Magic V,16.0
3834,Sigils of Elohim,16.0
2692,Memoir '44 Online,16.0
681,Bunch Of Heroes,16.0
4253,Tap Tap Infinity,16.0
3009,"On the Rain-Slick Precipice of Darkness, Episode Two",16.0
3881,Slender The Arrival,16.0
3330,Quake,16.0
554,Blades of Time,16.0
1260,Devilian,16.0
2382,King Arthur II - The Role-playing Wargame,16.0
747,Call of Juarez The Cartel,16.0
603,Bloop,16.0
1860,Galactic Civilizations III,16.0
794,CastleMiner Z,16.0
2694,Memories of a Vagabond,16.0
2346,Just Cause 3,15.0
4333,The Cave,15.0
1467,Edna & Harvey Harvey's New Eyes,15.0
2995,Offspring Fling!,15.0
2388,King's Bounty Crossworlds,15.0
4190,Symphony,15.0
3889,Smashmuck Champions,15.0
3659,Saints Row IV Inauguration Station,15.0
2063,Hacker Evolution Duality,15.0
1168,Deadpool,15.0
2484,Legend of Grimrock 2,15.0
2134,Hero Academy,15.0
2990,Oddworld Stranger's Wrath HD,15.0
3438,Rayman Legends,15.0
677,Bullet Run,15.0
1847,GRID 2 GTR Racing Pack,15.0
1830,Frozen Hearth,15.0
2181,Hostile Waters Antaeus Rising,15.0
494,Before the Echo,15.0
3668,Sakura Spirit,15.0
1890,Gang Beasts,15.0
3696,Sang-Froid - Tales of Werewolves,15.0
3856,Sins of a Solar Empire Rebellion Forbidden Worlds,15.0
5013,World of Battles,15.0
59,A New Beginning - Final Cut,15.0
1292,Disney Infinity 3.0 Play Without Limits,15.0
4978,Windosill,15.0
2559,Lugaru HD ,15.0
1578,Evil Genius,15.0
3339,Quake Mission Pack 2 Dissolution of Eternity,15.0
3338,Quake Mission Pack 1 Scourge of Armagon,15.0
2526,Litil Divil,15.0
57,A Game of Thrones - Genesis,15.0
4011,Star Ruler,15.0
1913,Geometry Dash,15.0
99,Abyss Odyssey,15.0
406,Axis Game Factory's AGFPRO 3.0,15.0
4464,The Retro Expansion,15.0
1598,F1 2013,15.0
997,Crazy Machines 2,15.0
2398,Kingdom Rush,15.0
2286,Ionball 2  Ionstorm,15.0
3257,Prince of Persia Warrior Within,15.0
4303,The Baconing,15.0
4423,The Legend of Korra,15.0
638,Brawl Busters,15.0
951,Construction-Simulator 2015,15.0
2057,HOMEFRONT Demo,15.0
1408,Dungeon Fighter Online,15.0
1208,Demigod,15.0
4478,The Settlers Online,15.0
3808,Shovel Knight,15.0
4295,The 39 Steps,15.0
582,Blood Bowl Chaos Edition,15.0
904,Color Symphony,15.0
3026,Orbital Gear,15.0
5057,Xenonauts,14.0
887,Clown House (Palyao Evi),14.0
963,Cortex Command,14.0
4354,The Dig,14.0
1619,FINAL FANTASY XIII-2,14.0
889,Cobi Treasure Deluxe,14.0
3048,Outland,14.0
3819,Sid Meier's Civilization Beyond Earth - Rising Tide,14.0
3893,Snapshot,14.0
2499,Let the Cat In,14.0
3016,One Way Heroics,14.0
3858,Sins of a Solar Empire Trinity,14.0
3088,Painkiller Redemption,14.0
1745,FlatOut,14.0
3741,Serena,14.0
2215,IL-2 Sturmovik Cliffs of Dover,14.0
3360,RACE On,14.0
3734,Section 8 Prejudice,14.0
529,Bionic Dues,14.0
2368,KickBeat Steam Edition,14.0
2500,Lethal League,14.0
1038,Crysis 2,14.0
3855,Sins of a Solar Empire Rebellion - Stellar Phenomena DLC,14.0
553,Blade Symphony,14.0
1061,D.I.P.R.I.P. Warm Up,14.0
2853,NBA 2K9,14.0
649,Bridge Constructor,14.0
3334,Quake II The Reckoning,14.0
3333,Quake II Ground Zero,14.0
2210,I am Bread,14.0
3332,Quake II,14.0
5049,X2 The Threat,14.0
912,Command and Conquer 3 Kane's Wrath,14.0
3888,Smashball,14.0
4673,Town of Salem,14.0
1962,Gothic,14.0
3645,STCC II,14.0
3121,Penguins Arena Sedna's World,14.0
1452,Earth 2160,14.0
751,Camera Obscura,14.0
4503,The Tiny Bang Story,14.0
795,CastleStorm,14.0
4151,Super Sanctum TD,14.0
4828,Vertical Drop Heroes HD,14.0
4696,Transformers War for Cybertron,14.0
745,Call of Juarez Bound in Blood,14.0
1915,Geometry Wars Retro Evolved,14.0
2000,Grim Dawn,14.0
2010,Grow Home,14.0
4120,Subnautica,14.0
1911,Genesis Online,14.0
3646,STCC The Game,14.0
1146,Dead Rising 2 Off the Record,14.0
4515,The WTCC 2010 Pack,14.0
2029,Gun Metal,14.0
1377,Dream Of Mirror Online,14.0
3496,Resident Evil / biohazard HD REMASTER,14.0
35,404Sight,14.0
3611,Rush Bros,14.0
3180,Pixel Puzzles Japan,14.0
2043,Gunscape,14.0
4097,Strike Suit Infinity,14.0
3981,SpellForce Platinum Edition,14.0
3917,Solstice Arena,14.0
2926,Neverwinter Nights 2 Platinum,14.0
4793,Uriel's Chasm,14.0
4681,TrackMania Stadium,14.0
3990,Spirits,14.0
1303,Divinity Dragon Commander Beta,14.0
4048,Starpoint Gemini 2,14.0
2437,LEGO Harry Potter Years 5-7,14.0
1940,Gnomoria,14.0
2479,Legacy of Kain Soul Reaver 2,14.0
780,Carrier Command Gaea Mission,14.0
2912,Need for Speed SHIFT,14.0
859,Cities in Motion,14.0
2478,Legacy of Kain Soul Reaver,14.0
